 Experiment N , 100 ,,,,,,,,, bin N ,1000,,aliali,,,,,,,,
,,,,,,,,,,,, 15 ,,,,,,,,,
"""2_DNN_3_None""","""2_Hyperheuristic_3_None""","""5_DNN_3_None""","""5_Hyperheuristic_3_None""","""2_DNN_3_DTS""","""2_Hyperheuristic_3_DTS""","""5_DNN_3_DTS""","""5_Hyperheuristic_3_DTS""",Decima,,,, 429 ," ""2_DNN_3_None"" "," ""2_Hyperheuristic_3_None"" "," ""5_DNN_3_None"" "," ""5_Hyperheuristic_3_None"" "," ""2_DNN_3_DTS"" "," ""2_Hyperheuristic_3_DTS"" "," ""5_DNN_3_DTS"" "," ""5_Hyperheuristic_3_DTS"" ", Decima 
 33 , 216 , 24 , 27 , 16 , 31 , 21 , 56 , 17 ,,, -   , 15 ,0%,0%,0%,0%,4%,0%,1%,0%,1%
 27 , 50 , 22 , 195 , 17 , 147 , 18 , 174 , 16 ,,, 1 , 16 ,0%,0%,0%,0%,8%,0%,6%,0%,5%
 22 , 68 , 21 , 34 , 18 , 23 , 20 , 21 , 16 ,,, 2 , 16 ,0%,0%,0%,0%,17%,0%,14%,0%,32%
 20 , 53 , 27 , 39 , 18 , 290 , 17 , 169 , 17 ,,, 3 , 17 ,0%,0%,0%,0%,30%,0%,22%,0%,57%
 25 , 62 , 22 , 43 , 16 , 75 , 18 , 22 , 16 ,,, 4 , 17 ,0%,0%,0%,0%,42%,0%,30%,0%,74%
 22 , 57 , 31 , 202 , 169 , 57 , 16 , 309 , 18 ,,, 5 , 17 ,0%,0%,0%,0%,56%,0%,40%,0%,80%
 22 , 53 , 23 , 43 , 19 , 33 , 18 , 148 , 17 ,,, 6 , 18 ,0%,0%,0%,0%,65%,0%,49%,0%,84%
 46 , 71 , 32 , 43 , 17 , 30 , 18 , 47 , 16 ,,, 7 , 18 ,0%,0%,0%,0%,73%,0%,55%,0%,90%
 22 , 200 , 23 , 29 , 17 , 32 , 169 , 78 , 18 ,,, 8 , 19 ,0%,0%,0%,0%,79%,2%,62%,0%,95%
 25 , 77 , 28 , 193 , 18 , 164 , 18 , 34 , 21 ,,, 9 , 19 ,1%,0%,1%,0%,81%,2%,64%,0%,96%
 23 , 196 , 25 , 65 , 17 , 147 , 23 , 148 , 17 ,,, 10 , 19 ,2%,0%,3%,0%,86%,2%,66%,1%,96%
 32 , 32 , 23 , 84 , 17 , 177 , 55 , 44 , 17 ,,, 11 , 20 ,6%,0%,6%,0%,86%,4%,70%,1%,96%
