id,scheduler_name,train_data,model_name,model_num_train,num_heuristics,list_heuristics,resource_allocation,num_resource_heuristics,list_resource_heuristics,num_experiments,splitting_rule,render_mode,job_arrival_cap,job_arrival_rate,test_data,avg_job_duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""HybridheuristicScheduler""",,,,2,,"""DRA""",,,50,"""None""","""None""",500,0.000125,"""AlibabaDataSampler""", 51 , 338 , 335 , 254 , 55 , 77 , 96 , 162 , 149 , 256 , 242 , 126 , 130 , 85 , 184 , 714 , 108 , 425 , 304 , 459 , 415 , 633 , 110 , 51 , 488 , 457 , 102 , 37 , 864 , 288 , 38 , 160 , 178 , 196 , 208 , 171 , 232 , 119 , 320 , 157 , 82 , 88 , 568 , 281 , 226 , 533 , 74 , 228 , 87 , 173 
2,"""HyperHeuristicScheduler""","""AlibabaDataSampler""","""2_DRA_cap500_int8""",100,2,,"""DRA""",,,50,"""None""","""None""",500,0.000125,"""AlibabaDataSampler""", 93 , 200 , 606 , 196 , 115 , 70 , 105 , 340 , 156 ," 1,527 ", 541 , 127 , 479 , 81 ," 1,433 "," 1,048 ", 211 ," 1,436 "," 1,532 ", 444 ," 2,487 ", 999 , 221 , 47 , 420 , 479 , 160 , 36 ," 1,361 ", 477 , 46 , 383 , 357 , 185 , 260 , 134 , 693 , 144 , 252 , 232 , 119 , 162 ," 1,051 ", 366 , 529 , 482 , 111 , 197 , 103 , 480 
3,"""HyperHeuristicScheduler""","""AlibabaDataSampler""","""3_DRA_cap500_int8""",100,3,,"""DRA""",,,50,"""None""","""None""",500,0.000125,"""AlibabaDataSampler""", 82 , 241 , 395 , 135 , 92 , 59 , 107 , 249 , 132 , 656 , 537 , 115 , 466 , 59 , 274 , 553 , 200 , 667 , 634 , 383 , 759 , 890 , 133 , 47 , 404 , 363 , 91 , 36 , 905 , 412 , 43 , 484 , 312 , 137 , 192 , 129 , 440 , 133 , 160 , 226 , 101 , 123 , 783 , 320 , 364 , 412 , 121 , 209 , 94 , 264 
4,"""HyperHeuristicScheduler""","""AlibabaDataSampler""","""4_DRA_cap500_int8""",10,4,,"""DRA""",,,50,"""None""","""None""",500,0.000125,"""AlibabaDataSampler""", 65 , 252 , 752 , 163 , 130 , 77 , 149 , 219 , 165 ," 1,367 ", 484 , 154 , 740 , 75 , 656 , 843 , 284 ," 1,598 "," 1,379 ", 297 , 975 ," 2,641 ", 214 , 42 ," 1,500 ", 712 , 134 , 39 ," 1,308 ", 519 , 47 ," 1,360 ", 392 , 184 , 270 , 143 , 577 , 137 , 204 , 241 , 140 , 266 ," 1,597 ", 423 , 385 , 433 , 93 , 705 , 105 , 327 
5,"""HyperHeuristicScheduler""","""AlibabaDataSampler""","""4_DRA_cap500_int8""",50,4,,"""DRA""",,,50,"""None""","""None""",500,0.000125,"""AlibabaDataSampler""", 70 , 352 , 674 , 146 , 165 , 67 , 256 , 184 , 147 ," 1,539 ", 506 , 140 , 906 , 61 ," 1,327 ", 986 , 223 ," 1,092 ", 989 , 423 ," 2,516 "," 1,972 ", 157 , 48 ," 1,487 ", 791 , 142 , 38 ," 1,668 ", 444 , 42 , 893 , 429 , 162 , 220 , 156 , 517 , 173 , 201 , 255 , 199 , 698 ," 1,658 ", 392 , 313 , 457 , 97 , 304 , 91 , 410 
6,"""HyperHeuristicScheduler""","""AlibabaDataSampler""","""4_DRA_cap500_int8""",100,4,,"""DRA""",,,50,"""None""","""None""",500,0.000125,"""AlibabaDataSampler""", 90 , 251 , 439 , 138 , 161 , 67 , 124 , 187 , 141 , 609 , 451 , 148 ," 1,001 ", 77 ," 1,598 ", 865 , 256 , 615 , 508 , 420 ," 1,546 "," 1,185 ", 140 , 45 , 413 , 713 , 143 , 41 ," 1,591 ", 459 , 41 ," 1,153 ", 396 , 171 , 239 , 194 , 598 , 147 , 365 , 242 , 139 , 733 ," 1,551 ", 372 , 483 , 410 , 88 , 266 , 99 , 322 
7,"""DecimaScheduler""","""AlibabaDataSampler""","""cap500_int8""",100,1,,"""DNN""",,,50,"""None""","""None""",500,0.000125,"""AlibabaDataSampler""", 70 , 67 , 134 , 89 , 77 , 48 , 82 , 90 , 78 , 156 , 101 , 106 , 92 , 54 , 115 , 169 , 80 , 140 , 192 , 273 , 202 , 162 , 78 , 28 , 91 , 104 , 50 , 28 , 193 , 122 , 45 , 159 , 118 , 81 , 136 , 54 , 106 , 107 , 98 , 83 , 77 , 68 , 193 , 132 , 111 , 164 , 48 , 98 , 53 , 80 
8,"""HyperHeuristicScheduler""","""TPCHDataSampler""","""2_DRA_cap100_int48""",100,2,,"""DRA""",,,50,"""None""","""None""",500,0.000125,"""AlibabaDataSampler""", 97 , 363 , 432 , 204 , 119 , 72 , 103 , 319 , 176 ," 1,784 ", 522 , 134 , 739 , 72 , 577 , 926 , 174 , 878 ," 1,031 ", 404 , 832 ," 1,046 ", 149 , 48 , 290 , 495 , 164 , 40 ," 1,187 ", 498 , 44 , 802 , 396 , 188 , 306 , 137 , 563 , 148 , 247 , 261 , 103 , 235 ," 1,024 ", 354 , 491 , 451 , 117 , 324 , 92 , 331 
9,"""HyperHeuristicScheduler""","""TPCHDataSampler""","""3_DRA_cap100_int48""",100,3,,"""DRA""",,,50,"""None""","""None""",500,0.000125,"""AlibabaDataSampler""", 57 , 162 , 520 , 139 , 151 , 63 , 108 , 172 , 135 ," 1,530 ", 410 , 122 , 547 , 68 ," 1,262 "," 1,313 ", 109 , 892 , 619 , 445 ," 1,105 ", 778 , 209 , 45 , 362 , 411 , 131 , 36 , 986 , 541 , 45 , 668 , 332 , 166 , 207 , 128 , 448 , 156 , 181 , 211 , 94 , 145 , 877 , 339 , 369 , 464 , 127 , 554 , 105 , 209 
10,"""HyperHeuristicScheduler""","""TPCHDataSampler""","""4_DRA_cap100_int48""",10,4,,"""DRA""",,,50,"""None""","""None""",500,0.000125,"""AlibabaDataSampler""", 74 , 325 , 327 , 176 , 172 , 72 , 116 , 231 , 141 , 846 , 480 , 149 , 752 , 61 ," 1,492 ", 706 , 467 ," 1,492 ", 548 , 536 ," 2,401 "," 1,750 ", 219 , 49 , 418 , 813 , 90 , 34 ," 1,380 ", 424 , 40 , 631 , 369 , 156 , 247 , 250 , 500 , 157 , 303 , 209 , 203 , 143 ," 1,549 ", 376 , 312 , 426 , 105 , 291 , 93 , 427 
