id,scheduler_name,train_data,num_heuristics,resource_allocation,splitting_rule,model_num_train,list_resource_heuristics,num_experiments,render_mode,model_name,test_data,job_arrival_rate,job_arrival_cap
1,"""HyperHeuristicScheduler""","""TPCHDataSampler""",2,"""DRA""","""None""",10,,30,"""None""","""2_DRA_cap100_int48_exec20""","""TPCHDataSampler""",0.020833333,100
2,"""HyperHeuristicScheduler""","""TPCHDataSampler""",2,"""DRA""","""None""",50,,30,"""None""","""2_DRA_cap100_int48_exec20""","""TPCHDataSampler""",0.020833333,100
3,"""HyperHeuristicScheduler""","""TPCHDataSampler""",2,"""DRA""","""None""",100,,30,"""None""","""2_DRA_cap100_int48_exec20""","""TPCHDataSampler""",0.020833333,100
4,"""HyperHeuristicScheduler""","""TPCHDataSampler""",2,"""DRA""","""None""",200,,30,"""None""","""2_DRA_cap100_int48_exec20""","""TPCHDataSampler""",0.020833333,100
5,"""DecimaScheduler""","""TPCHDataSampler""",2,"""DNN""","""None""",10,,30,"""None""","""cap100_int48_exec20""","""TPCHDataSampler""",0.020833333,100
6,"""DecimaScheduler""","""TPCHDataSampler""",2,"""DNN""","""None""",50,,30,"""None""","""cap100_int48_exec20""","""TPCHDataSampler""",0.020833333,100
7,"""DecimaScheduler""","""TPCHDataSampler""",2,"""DNN""","""None""",100,,30,"""None""","""cap100_int48_exec20""","""TPCHDataSampler""",0.020833333,100
8,"""DecimaScheduler""","""TPCHDataSampler""",2,"""DNN""","""None""",200,,30,"""None""","""cap100_int48_exec20""","""TPCHDataSampler""",0.020833333,100
9,"""HyperHeuristicScheduler""","""TPCHDataSampler""",2,"""DRA""","""None""",10,,30,"""None""","""2_DRA_cap100_int48_exec20""","""AlibabaDataSampler""",0.000125,100
10,"""HyperHeuristicScheduler""","""TPCHDataSampler""",2,"""DRA""","""None""",50,,30,"""None""","""2_DRA_cap100_int48_exec20""","""AlibabaDataSampler""",0.000125,100
11,"""HyperHeuristicScheduler""","""TPCHDataSampler""",2,"""DRA""","""None""",100,,30,"""None""","""2_DRA_cap100_int48_exec20""","""AlibabaDataSampler""",0.000125,100
12,"""HyperHeuristicScheduler""","""TPCHDataSampler""",2,"""DRA""","""None""",200,,30,"""None""","""2_DRA_cap100_int48_exec20""","""AlibabaDataSampler""",0.000125,100
13,"""DecimaScheduler""","""TPCHDataSampler""",2,"""DNN""","""None""",10,,30,"""None""","""cap100_int48_exec20""","""AlibabaDataSampler""",0.000125,100
14,"""DecimaScheduler""","""TPCHDataSampler""",2,"""DNN""","""None""",50,,30,"""None""","""cap100_int48_exec20""","""AlibabaDataSampler""",0.000125,100
15,"""DecimaScheduler""","""TPCHDataSampler""",2,"""DNN""","""None""",100,,30,"""None""","""cap100_int48_exec20""","""AlibabaDataSampler""",0.000125,100
16,"""DecimaScheduler""","""TPCHDataSampler""",2,"""DNN""","""None""",200,,30,"""None""","""cap100_int48_exec20""","""AlibabaDataSampler""",0.000125,100
