,"model'""_""'type",num_heuristics,Training set,"model'""_""'num'""_""'train","test'""_""'data","job'""_""'arrival'""_""'rate",id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Experiment N ,HyperH,2,MixD,30,Alib,0.000125, HyperH30_MixD__Alib0.000125 , 26.24 , 25.07 , 99.65 , 70.93 , 104.21 , 54.73 , 46.61 , 718.21 , 39.49 , 77.46 , 63.43 , 94.49 , 43.24 , 518.90 , 164.47 , 340.85 , 187.18 , 24.69 , 62.46 , 13.02 , 106.65 , 96.97 , 43.76 ," 1,467.64 ", 63.78 , 412.43 , 33.82 , 62.07 , 207.05 , 182.16 , 68.06 , 46.20 , 214.79 , 221.24 , 135.10 , 51.16 , 59.11 , 466.40 , 16.70 , 125.39 , 20.75 , 21.56 , 20.53 , 33.16 , 217.16 , 526.62 , 355.57 , 55.45 , 11.78 , 149.60 , 42.29 , 29.74 , 19.25 , 36.53 , 17.33 , 42.35 , 235.71 , 124.97 , 32.43 , 145.53 , 56.00 , 210.91 , 10.45 , 15.11 , 314.07 , 231.08 , 50.00 , 102.04 , 67.42 , 53.34 , 71.07 , 8.96 , 27.32 ," 1,262.36 ", 34.76 , 203.17 , 42.81 ," 1,069.64 "," 1,306.92 ", 108.00 , 125.80 , 47.58 , 85.47 , 25.91 , 964.25 , 312.71 , 71.27 , 578.50 , 419.42 , 415.25 , 447.37 , 31.82 , 76.54 , 23.83 , 361.80 , 34.37 , 15.68 , 21.67 , 53.84 , 73.11 ,,,,
 100 ,Decima,2,MixD,30,Alib,0.000125, Decima30_MixD__Alib0.000125 , 22.18 , 24.36 , 398.57 , 72.50 , 94.41 , 52.03 , 43.41 , 763.25 , 108.50 , 191.70 , 150.98 , 260.22 , 60.15 , 386.65 , 143.58 , 371.21 , 156.29 , 31.58 , 284.75 , 13.37 , 81.08 , 462.03 , 29.61 , 154.02 , 45.44 , 496.75 , 39.61 , 56.45 , 154.87 , 144.32 , 66.54 , 40.67 , 342.31 , 149.10 , 491.26 , 87.50 , 67.95 , 439.17 , 23.60 , 241.79 , 24.51 , 23.92 , 20.14 , 38.50 , 205.63 , 533.47 , 218.72 , 82.72 , 17.40 , 95.39 , 39.39 , 33.89 , 17.46 , 36.48 , 18.71 , 91.77 , 690.38 , 123.67 , 38.59 , 222.46 , 75.43 , 200.98 , 9.85 , 25.54 , 227.14 , 317.37 , 81.42 , 153.30 , 80.45 , 53.82 , 93.19 , 9.67 , 33.60 ," 1,339.03 ", 27.55 , 307.12 , 36.58 ," 1,594.38 ", 315.43 , 147.97 , 101.80 , 160.54 , 230.45 , 31.68 , 599.09 , 326.87 , 97.29 ," 1,162.89 ", 325.70 , 409.58 , 289.06 , 33.96 , 90.95 , 29.85 , 294.16 , 35.89 , 14.76 , 24.21 , 63.25 , 64.97 ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 bin N ,,,,,,,, -   , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 17 , 18 , 19 , 20 , 21 , 22 , 23 , 24 , 25 , 26 , 27 , 28 , 29 , 30 , 31 , 32 , 33 , 34 , 35 , 36 , 37 , 38 , 39 , 40 , 41 , 42 , 43 , 44 , 45 , 46 , 47 , 48 , 49 , 50 , 51 , 52 , 53 , 54 , 55 , 56 , 57 , 58 , 59 , 60 , 61 , 62 , 63 , 64 , 65 , 66 , 67 , 68 , 69 , 70 , 71 , 72 , 73 , 74 , 75 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 85 , 86 , 87 , 88 , 89 , 90 , 91 , 92 , 93 , 94 , 95 , 96 , 97 , 98 , 99 , 100 , 101 ,,
100,,,,,,, 12 , 500 , 12 , 17 , 22 , 26 , 31 , 36 , 41 , 46 , 51 , 56 , 61 , 65 , 70 , 75 , 80 , 85 , 90 , 95 , 100 , 105 , 109 , 114 , 119 , 124 , 129 , 134 , 139 , 144 , 148 , 153 , 158 , 163 , 168 , 173 , 178 , 183 , 188 , 192 , 197 , 202 , 207 , 212 , 217 , 222 , 227 , 231 , 236 , 241 , 246 , 251 , 256 , 261 , 266 , 271 , 275 , 280 , 285 , 290 , 295 , 300 , 305 , 310 , 314 , 319 , 324 , 329 , 334 , 339 , 344 , 349 , 354 , 358 , 363 , 368 , 373 , 378 , 383 , 388 , 393 , 397 , 402 , 407 , 412 , 417 , 422 , 427 , 432 , 437 , 441 , 446 , 451 , 456 , 461 , 466 , 471 , 476 , 480 , 485 , 490 , 495 , 500 , 505 , 605 
,,,,,,, HyperH30 ,4%,9%,16%,18%,24%,26%,31%,35%,40%,42%,46%,48%,52%,54%,54%,55%,56%,58%,60%,62%,62%,62%,62%,65%,65%,66%,66%,67%,68%,68%,68%,69%,69%,69%,70%,71%,71%,71%,71%,73%,74%,75%,77%,77%,78%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,81%,81%,81%,81%,81%,81%,82%,82%,82%,83%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,86%,87%,87%,87%,87%,87%,87%,88%,88%,88%,88%,89%,89%,89%,89%,89%,89%,89%,89%,92%,,
,,,,,,, Decima30 ,2%,6%,13%,16%,22%,29%,31%,31%,33%,35%,37%,39%,40%,41%,45%,46%,50%,52%,53%,54%,54%,54%,55%,55%,55%,55%,56%,58%,61%,64%,65%,65%,65%,65%,65%,65%,66%,66%,67%,68%,68%,68%,69%,70%,72%,72%,72%,73%,73%,73%,74%,74%,74%,74%,74%,75%,76%,77%,77%,77%,78%,78%,80%,80%,82%,82%,82%,83%,83%,83%,83%,83%,83%,84%,84%,84%,85%,85%,85%,86%,86%,87%,87%,87%,87%,87%,87%,88%,88%,88%,88%,88%,89%,89%,89%,89%,89%,89%,90%,91%,91%,93%,,
