id,scheduler_name,train_data,job_arrival_cap,job_arrival_rate,num_heuristics,resource_allocation,model_num_train,model_name,num_executors,num_experiments,test_data
1,HyperHeuristicScheduler,AlibabaDataSampler,100,0.000125,2,DRA,10,2_DRA_cap100_int8,20,50,AlibabaDataSampler
2,HyperHeuristicScheduler,AlibabaDataSampler,100,0.000125,3,DRA,10,3_DRA_cap100_int8,20,50,AlibabaDataSampler
3,HyperHeuristicScheduler,AlibabaDataSampler,100,0.000125,4,DRA,10,4_DRA_cap100_int8,20,50,AlibabaDataSampler
4,DecimaScheduler,AlibabaDataSampler,100,0.000125,2,DNN,10,cap100_int8,20,50,AlibabaDataSampler
5,HyperHeuristicScheduler,TPCHDataSampler,100,2.08E-05,2,DRA,10,2_DRA_cap100_int48,20,50,AlibabaDataSampler
6,HyperHeuristicScheduler,TPCHDataSampler,100,2.08E-05,3,DRA,10,3_DRA_cap100_int48,20,50,AlibabaDataSampler
7,HyperHeuristicScheduler,TPCHDataSampler,100,2.08E-05,4,DRA,10,4_DRA_cap100_int48,20,50,AlibabaDataSampler
8,DecimaScheduler,TPCHDataSampler,100,2.08E-05,2,DNN,10,cap100_int48,20,50,AlibabaDataSampler
9,HyperHeuristicScheduler,AlibabaDataSampler,100,0.000125,2,DRA,100,2_DRA_cap100_int8,20,50,AlibabaDataSampler
10,HyperHeuristicScheduler,AlibabaDataSampler,100,0.000125,3,DRA,100,3_DRA_cap100_int8,20,50,AlibabaDataSampler
11,HyperHeuristicScheduler,AlibabaDataSampler,100,0.000125,4,DRA,100,4_DRA_cap100_int8,20,50,AlibabaDataSampler
12,DecimaScheduler,AlibabaDataSampler,100,0.000125,2,DNN,100,cap100_int8,20,50,AlibabaDataSampler
13,HyperHeuristicScheduler,TPCHDataSampler,100,2.08E-05,2,DRA,100,2_DRA_cap100_int48,20,50,AlibabaDataSampler
14,HyperHeuristicScheduler,TPCHDataSampler,100,2.08E-05,3,DRA,100,3_DRA_cap100_int48,20,50,AlibabaDataSampler
15,HyperHeuristicScheduler,TPCHDataSampler,100,2.08E-05,4,DRA,100,4_DRA_cap100_int48,20,50,AlibabaDataSampler
16,DecimaScheduler,TPCHDataSampler,100,2.08E-05,2,DNN,100,cap100_int48,20,50,AlibabaDataSampler
