id,scheduler_name,input_feature,num_heuristics,resource_allocation,model_num_train,model_name,num_executors,cpt_scale,num_node_scale,train_data,test_data,job_arrival_rate,job_arrival_cap,num_experiments
,Decima,0,0,DNN,100,cap100_int48_exec20_Oct,20,1,1,TPCHDataSampler,AlibabaDataSampler,0.000125,100,100
,HybridHeuristicScheduler,,0,DRA,100,,20,1,1,TPCHDataSampler,AlibabaDataSampler,0.000125,100,100
,Sjf,,0,DRA,100,,20,1,1,TPCHDataSampler,AlibabaDataSampler,0.000125,100,100
,Ljf,,0,DRA,100,,20,1,1,TPCHDataSampler,AlibabaDataSampler,0.000125,100,100
,Fifo,,0,DRA,100,,20,1,1,TPCHDataSampler,AlibabaDataSampler,0.000125,100,100
,Wscpt,,0,DRA,100,,20,1,1,TPCHDataSampler,AlibabaDataSampler,0.000125,100,100
,Mc,,0,DRA,100,,20,1,1,TPCHDataSampler,AlibabaDataSampler,0.000125,100,100
1,Hyper,"""num_queue"",""avg_glob""",5,DRA,100,num_queue_avg_glob_5,20,1,1,TPCHDataSampler,AlibabaDataSampler,0.000125,100,100
2,Hyper,"""num_queue"",""avg_glob""",4,DRA,100,num_queue_avg_glob_4,20,1,1,TPCHDataSampler,AlibabaDataSampler,0.000125,100,100
3,Hyper,"""num_queue"",""avg_glob""",3,DRA,100,num_queue_avg_glob_3,20,1,1,TPCHDataSampler,AlibabaDataSampler,0.000125,100,100
4,Hyper,"""num_queue"",""avg_glob""",2,DRA,100,num_queue_avg_glob_2,20,1,1,TPCHDataSampler,AlibabaDataSampler,0.000125,100,100
